[00:00:00 - 00:00:02] 哈喽看一下今天的训练
[00:00:02 - 00:00:04] 我的宽苏拉卡了
[00:00:04 - 00:00:05] 只会开合条
[00:00:05 - 00:00:06] 那就不分腿呗
[00:00:08 - 00:00:10] 确实有点小腿分作句
[00:00:10 - 00:00:12] 大的还没分出句的样子
[00:00:12 - 00:00:18] 你可以不分腿
[00:00:18 - 00:00:20] 没有规定说宽苏拉一定要分腿的
[00:00:20 - 00:00:22] 你不然
[00:00:22 - 00:00:24] 有点像那个麦克这个训练
[00:00:33 - 00:00:35] 今天的这个抓据支撑
[00:00:35 - 00:00:37] 撑得有点撑过头了
[00:00:37 - 00:00:44] 今天的支撑有点撑过头了
[00:00:44 - 00:00:48] 撑到后面去了
[00:00:48 - 00:00:50] 哎这个宽苏拉可以啊
[00:00:50 - 00:00:52] 不过宽苏拉呢就是你暂时先做不分腿的
[00:00:52 - 00:00:54] 看看能不能做出来
[00:00:54 - 00:00:56] 抓据的发力都做得不错
[00:00:56 - 00:00:58] 包括宽苏拉的发力这一生长的一瞬间不加屁股了
[00:00:58 - 00:01:00] 啊整体真胆向上
[00:01:00 - 00:01:02] 这一点是做得很好的
[00:01:02 - 00:01:05] 没有什么问题
[00:01:05 - 00:01:07] 支撑膝盖打开也有进步
[00:01:07 - 00:01:09] 剩下的一个就是你那个像有点像的那个做那个
[00:01:09 - 00:01:11] 上次在你做宽苏实力推那种
[00:01:11 - 00:01:13] 感觉手臂要往上顶啊
[00:01:13 - 00:01:15] 有点往后
[00:01:15 - 00:01:17] 其他的是ok的
[00:01:17 - 00:01:22] 没啥大问题
[00:01:22 - 00:01:25] 挺直挺直
[00:01:25 - 00:01:27] 挺直后腿稍微小一点点
[00:01:27 - 00:01:29] 然后让后腿的膝盖稍微下去
[00:01:29 - 00:01:37] 稍微弯一些
[00:01:37 - 00:01:39] 哦今天是43下蹲抓
[00:01:39 - 00:01:46] 还不错
[00:01:46 - 00:02:03] 43的下蹲抓还不错
[00:02:03 - 00:02:05] 哦大中南的支撑的位置是对的
[00:02:05 - 00:02:07] 就轻中南有点今天进过头了
[00:02:07 - 00:02:09] 大中南这个支撑是往上撑的
[00:02:09 - 00:02:13] 对宽也不错
[00:02:13 - 00:02:15] 就是今天有一个比较好的第一是发力更直了
[00:02:15 - 00:02:17] 第二在蹲到底的时候膝盖没有那么内扣了
[00:02:17 - 00:02:19] 打开了一点这两点继续保持
[00:02:19 - 00:02:21] 很棒
