[00:00:00 - 00:00:02] 好了看一下今天的训练
[00:00:02 - 00:00:07] 这样绑好一点了是吧
[00:00:07 - 00:00:15] 灯腿出走可以啊
[00:00:15 - 00:00:18] 这个分腿的时候这个开合跳还是
[00:00:18 - 00:00:20] 有点丑陋
[00:00:20 - 00:00:22] 这槓林轨迹倒挺贴身的
[00:00:22 - 00:00:27] 如果把分腿能做得在整个脚掌同时招地
[00:00:28 - 00:00:29] 就更好了
[00:00:30 - 00:00:32] 哎这个还不错
[00:00:32 - 00:00:34] 这个分腿比上一个就好很多
[00:00:34 - 00:00:41] 嗯这个分腿也可以
[00:00:41 - 00:00:43] 看来就是第一组没发挥好
[00:00:43 - 00:00:48] 啊这里是对的高分不错
[00:01:00 - 00:01:05] 登站
[00:01:05 - 00:01:07] 登底升站可以
[00:01:07 - 00:01:09] 应拉是对的没问题
[00:01:10 - 00:01:11] 一
[00:01:11 - 00:01:12] 二
[00:01:12 - 00:01:13] nice
