[00:00:00 - 00:00:02] 哈喽看一下今天的训练
[00:00:03 - 00:00:05] 翻也翻不行蹲也蹲不行
[00:00:05 - 00:00:06] 怒喝两勺鸡酸
[00:00:08 - 00:00:10] 这个鸡酸这个东西又不是当下就生效了
[00:00:12 - 00:00:14] 哪有喝两勺鸡酸就是管用了
[00:00:15 - 00:00:17] 你这个重心什么怀疑
[00:00:29 - 00:00:32] 第二个比第一个稍微好一点
[00:00:48 - 00:00:50] 就注意一下过锡的时候重心就行了
[00:00:50 - 00:00:53] 不然硬挖屁股老飞掉了压不住
[00:00:54 - 00:00:57] 发力銀阶出走还不错
[00:00:57 - 00:00:58] 没什么毛病
[00:01:02 - 00:01:04] 然后出走速度可以稍微再快一点
[00:01:05 - 00:01:06] 就是在出走的这一瞬间
[00:01:06 - 00:01:09] 那如果你是先伸了弯再出的走
[00:01:10 - 00:01:12] 这样的话就多鱼了知道吧
[00:01:12 - 00:01:15] 因为你只要走关节往前出的速度足够快
[00:01:15 - 00:01:17] 手腕是不用再去做一个翻的
[00:01:17 - 00:01:18] 有翻弯的一个动作
[00:01:20 - 00:01:22] 出走越快手腕的这种小动作
[00:01:22 - 00:01:23] 它就越少
[00:01:23 - 00:01:24] 动作就会越干净
[00:01:27 - 00:01:28] 反而翻的很奇怪
[00:01:33 - 00:01:35] 你确定重心是压在前脚上
[00:01:37 - 00:01:38] 对这个是在
[00:01:40 - 00:01:42] 这个确实是在前脚上
[00:01:42 - 00:01:45] 但是这个不好的点是在于发力的时候
[00:01:45 - 00:01:46] 没有坐稳
[00:01:46 - 00:01:48] 你这个时候就贴腿了
[00:01:48 - 00:01:50] 你既然它就没有一个准确的撞击点
[00:01:51 - 00:01:53] 就等于是轮上去的
[00:01:53 - 00:01:55] 用手轮上去的不是用腿蹬上去的
[00:01:56 - 00:01:57] 所以发力点那一下还是要做的
[00:01:57 - 00:01:59] 再交代的再清楚
[00:01:59 - 00:02:01] 再发力再集中一点
[00:02:01 - 00:02:09] 其他的没什么毛病
[00:02:10 - 00:02:14] 前蹲是对的
[00:02:15 - 00:02:16] 没问题
[00:02:18 - 00:02:18] 可以
[00:02:23 - 00:02:24] 前蹲还可以
[00:02:24 - 00:02:25] 踢桿有点重
[00:02:26 - 00:02:27] 可能跟前脚你膝盖有关系
[00:02:27 - 00:02:28] 优着点就行
