[00:00:01 - 00:00:02] 好了看一下今天的训练
[00:00:02 - 00:00:04] 抓局又是一坨啊
[00:00:04 - 00:00:04] 什么情况
[00:00:06 - 00:00:06] 为什么
[00:00:22 - 00:00:23] 找到原因了呀
[00:00:25 - 00:00:27] 今天的抓局发力没有上次做的好呀
[00:00:28 - 00:00:29] 为什么呢
[00:00:29 - 00:00:32] 启动重心又翘脚指头了
[00:00:33 - 00:00:36] 脚指头一翘二端拉的时候
[00:00:36 - 00:00:37] 往前移重心
[00:00:37 - 00:00:38] 那发力就往前跳
[00:00:40 - 00:00:41] 那就是一坨
[00:00:41 - 00:00:42] 真是一坨
[00:00:44 - 00:00:45] 全是翘脚指头的
[00:00:54 - 00:00:55] 你这个角度翘到天上局了呀
[00:00:56 - 00:00:57] 就这一个问题啊
[00:00:58 - 00:00:59] 重心只要搞定了
[00:00:59 - 00:01:01] 你至少从硬拉到发力都很贴身
[00:01:01 - 00:01:02] 槓铃高度都很向上
[00:01:08 - 00:01:10] 所以一段拉包括槓铃过吸
[00:01:11 - 00:01:12] 脚掌才稳
[00:01:12 - 00:01:13] 前脚掌才稳
[00:01:15 - 00:01:17] 热身的时候可以就是把脚后跟
[00:01:17 - 00:01:18] 垫起来做几组硬拉做几组
[00:01:18 - 00:01:21] 那个宽宽宿拉宽体拉啥的
[00:01:27 - 00:01:28] 挺直的手腕就很好看了
[00:01:29 - 00:01:29] 立在那里
[00:01:30 - 00:01:33] 到挺举的时候手腕就翻在后面
[00:01:38 - 00:01:39] 后面挺举要下这个学习啊
[00:01:39 - 00:01:41] ok
