[00:00:00 - 00:00:02] 哈喽看一下今天的训练
[00:00:04 - 00:00:05] 28又太太
[00:00:06 - 00:00:12] 那么自信嘛
[00:00:12 - 00:00:14] 但是技术也没做好
[00:00:14 - 00:00:15] 你这个脚趾头又翘起来
[00:00:20 - 00:00:22] 另拉的时候是不能掐脚趾头的
[00:00:26 - 00:00:27] 接灵都还不错
[00:00:27 - 00:00:35] 可以
[00:00:35 - 00:00:36] 你其实接灵的时候
[00:00:36 - 00:00:37] 你脚架子不松
[00:00:37 - 00:00:38] 到底就可以起
[00:00:38 - 00:00:39] 不需要停
[00:00:41 - 00:00:44] 就是到这里到底就起
[00:00:44 - 00:00:46] 停一下再起的话
[00:00:47 - 00:00:49] 反弹接不少
[00:00:49 - 00:00:55] 新PR
[00:00:56 - 00:00:57] 恭喜
[00:00:58 - 00:00:59] 我们82高度还是够的
[00:01:00 - 00:01:01] 站起来也不费劲
[00:01:01 - 00:01:02] 84接的时候
[00:01:02 - 00:01:04] 应该是有点寒胸了吧
[00:01:05 - 00:01:06] 寒胸啊
[00:01:07 - 00:01:08] 因为82有这个苗头
[00:01:08 - 00:01:09] 是高翻的高度
[00:01:09 - 00:01:09] 看来没
[00:01:10 - 00:01:11] 但是到这里的时候
[00:01:11 - 00:01:12] 胸腔有点松
[00:01:13 - 00:01:14] 不够硬
[00:01:15 - 00:01:16] 还不错
[00:01:16 - 00:01:17] 高度在这里
[00:01:17 - 00:01:20] 回头把前盾架子练一练
[00:01:20 - 00:01:21] 停胸
[00:01:21 - 00:01:22] 意思到我再加强一点
[00:01:23 - 00:01:24] 就问题不大
[00:01:35 - 00:01:37] 那个硬拉也是这个重心猜猜好了
[00:01:41 - 00:01:43] 老想的用脚后跟去
[00:01:43 - 00:01:44] 就能个啥
[00:01:46 - 00:01:46] ok
