[00:00:00 - 00:00:02] 好,来看一下今天的训练
[00:00:03 - 00:00:05] 这么猛吗,今天
[00:00:05 - 00:00:07] 发力嘎嘎快
[00:00:07 - 00:00:08] 嘎嘎猛
[00:00:09 - 00:00:10] 到位
[00:00:10 - 00:00:14] 可以
[00:00:14 - 00:00:16] 支撑也很主动
[00:00:16 - 00:00:19] 对的
[00:00:19 - 00:00:21] 你就注意发力前手臂放松一点
[00:00:21 - 00:00:22] 刚刚这一组的
[00:00:22 - 00:00:24] 第一个手臂
[00:00:24 - 00:00:29] 是这个
[00:00:30 - 00:00:32] 这个手臂稍微有点紧张
[00:00:32 - 00:00:35] 紧张的原因我看一下
[00:00:36 - 00:00:38] 这个不是二段纳的问题
[00:00:38 - 00:00:39] 是一段纳的
[00:00:40 - 00:00:42] 就一段纳预备姿势做好了
[00:00:42 - 00:00:43] 保持了这个背脚
[00:00:43 - 00:00:45] 你能做的就直接蹬地启动就行了
[00:00:45 - 00:00:46] 不要再往后压
[00:00:46 - 00:00:47] 压一下
[00:00:47 - 00:00:48] 就这么一点点
[00:00:48 - 00:00:49] 你看
[00:00:49 - 00:00:50] 就这一下
[00:00:51 - 00:00:53] 这一下你的髋、膝、踝都没有充分伸展
[00:00:53 - 00:00:56] 先上半身往后仰了一下再启动
[00:00:56 - 00:01:03] 这一下不要有
[00:01:03 - 00:01:04] 保持支撑
[00:01:04 - 00:01:05] 其他的没问题
[00:01:05 - 00:01:21] 做三十
[00:01:21 - 00:01:22] 没什么问题
[00:01:22 - 00:01:25] 挺好
[00:01:32 - 00:01:34] 今天主要下蹲的时候也比较稳
[00:01:34 - 00:01:36] 膝盖打得也开
[00:01:36 - 00:01:37] 之前那么内扣了
[00:01:38 - 00:01:40] 深蹲是可以的
[00:01:41 - 00:01:42] 九十一正式做
[00:01:44 - 00:01:45] 没毛病
