[00:00:00 - 00:00:02] 好了看一下今天的训练
[00:00:02 - 00:00:07] 喽啦几修
[00:00:07 - 00:00:13] 少意思了
[00:00:13 - 00:00:18] 可以
[00:00:18 - 00:00:19] nice
[00:00:19 - 00:00:23] 我签了停距越大越好了
[00:00:23 - 00:00:26] 翻也没问题
[00:00:26 - 00:00:33] 前对角分出去的这个停距就很干脆
[00:00:33 - 00:00:43] 手腕怎么样
[00:00:43 - 00:00:44] 还好
[00:00:44 - 00:00:47] 没问题
[00:00:47 - 00:00:48] 动作很漂亮
[00:00:48 - 00:00:50] 做成这样就基本上
[00:00:50 - 00:00:51] 没啥毛病了
[00:00:51 - 00:00:53] 我这个翻重心又有一点偏厚啊
[00:00:53 - 00:01:03] 不要往前跳
[00:01:03 - 00:01:04] 身上停的毛病
[00:01:04 - 00:01:22] 现在可以
[00:01:22 - 00:01:24] 整体重量都很高
[00:01:24 - 00:01:26] 做两组累了
[00:01:26 - 00:01:32] 组件些拉长一点
[00:01:32 - 00:01:37] 然后两个之间也再拉长一点
[00:01:37 - 00:01:38] 组件些太短了
[00:01:38 - 00:01:39] 这背景重量在这
[00:01:39 - 00:01:44] 累的
[00:01:44 - 00:01:46] 一看就是预兑已经变形了
[00:01:46 - 00:01:52] 组件些两个一组的这种正式组
[00:01:52 - 00:01:55] 可以拉到一百五十秒以上
[00:01:55 - 00:01:57] 甚至可以保持在一分钟以上
[00:01:57 - 00:02:06] 前蹲都六十五个两个做组的
[00:02:06 - 00:02:08] 七十五有什么几个
[00:02:08 - 00:02:22] 毕竟还是硬拉呀
[00:02:22 - 00:02:23] 可以
[00:02:23 - 00:02:26] 可以
