[00:00:00 - 00:00:02] 哈喽看一下今天的训练
[00:00:03 - 00:00:05] 以前180把你可以登10个
[00:00:05 - 00:00:10] 我看一下啊
[00:00:15 - 00:00:19] 在因为我最近会给你安排比较多的西上的价位
[00:00:19 - 00:00:20] 西上价位呢
[00:00:20 - 00:00:23] 他有一个非常非常重要的体感
[00:00:23 - 00:00:27] 就是你要下放的时候把你的中背收紧
[00:00:28 - 00:00:30] 就是挺胸成肩
[00:00:30 - 00:00:32] 肩胛骨要往下收紧
[00:00:33 - 00:00:35] 刚开始在练这个收紧的时候啊
[00:00:35 - 00:00:37] 特别是你往下放放到这个地方的时候啊
[00:00:37 - 00:00:39] 你会感觉到中背或者肩胛下延
[00:00:39 - 00:00:41] 那一整坨非常的难受
[00:00:41 - 00:00:42] 很紧
[00:00:44 - 00:00:44] 很卡
[00:00:45 - 00:00:46] 但是呢这个是正确的
[00:00:47 - 00:00:47] 你
[00:00:48 - 00:00:50] 你千万不要一下放的时候
[00:00:50 - 00:00:51] 那种背就松掉
[00:00:51 - 00:00:52] 上背就松掉
[00:00:52 - 00:00:53] 不然的话他
[00:00:54 - 00:00:54] 就是
[00:00:56 - 00:00:58] 没办法去进行下一步的训练
[00:01:00 - 00:01:02] 所以你现在这个成肩挺胸做好了之后
[00:01:02 - 00:01:04] 把头也稍微抬高一点
[00:01:04 - 00:01:05] 然后在下放的时候
[00:01:05 - 00:01:07] 你要去找肩胛骨下延那个地方
[00:01:07 - 00:01:08] 难受收紧的感觉
[00:01:14 - 00:01:16] 这一个发力其实还不错
[00:01:16 - 00:01:18] 这个发力挺贴身的
[00:01:19 - 00:01:20] 灯腿是往上走的
[00:01:20 - 00:01:21] 没有问题
[00:01:22 - 00:01:23] 支撑的话
[00:01:25 - 00:01:26] 有点往后掰了啊
[00:01:30 - 00:01:33] 往后掰是因为脚掌没采稳
[00:01:33 - 00:01:34] 就是你你的支撑下吨
[00:01:34 - 00:01:36] 他并不是宽膝联动的一个下吨
[00:01:37 - 00:01:38] 就是你是先去吸
[00:01:38 - 00:01:40] 然后往下吨的时候
[00:01:40 - 00:01:41] 你的屁股才会往后做
[00:01:42 - 00:01:43] 吸
[00:01:43 - 00:01:44] 宽看来没
[00:01:45 - 00:01:45] 再看一遍啊
[00:01:45 - 00:01:47] 你的膝盖往前往后
[00:01:48 - 00:01:50] 他就一直在调重心
[00:01:50 - 00:01:52] 你深蹲也不可能这么蹲对不对
[00:01:53 - 00:01:56] 作为说你刚刚发力做的那么好
[00:01:56 - 00:01:57] 然后支撑的时候脚踩稳
[00:01:57 - 00:02:00] 就跟深蹲一样直接下去就可以了
[00:02:00 - 00:02:01] 这个还不错
[00:02:01 - 00:02:09] 这个支撑就明显比上一个要好很多
[00:02:09 - 00:02:11] 这个发力没做完整了
[00:02:11 - 00:02:13] 感觉现在这个抓据的话
[00:02:14 - 00:02:16] 每一个的感觉都不太一样啊
[00:02:17 - 00:02:18] 练的还是比较少
[00:02:18 - 00:02:19] 刚好最近就是
[00:02:23 - 00:02:25] 刚好最近就是要把这个动作固化一下
[00:02:25 - 00:02:27] 都练练抓下端抓啊
[00:02:28 - 00:02:30] 因为刚刚那那几个当中
[00:02:31 - 00:02:32] 感觉动作都不太一样
[00:02:34 - 00:02:35] 不固定
[00:02:36 - 00:02:38] 但是最大的问题呢还是两个点
[00:02:38 - 00:02:39] 一个下放的时候肩胛收住
[00:02:40 - 00:02:42] 一个支撑的时候就要脏踩稳
[00:02:43 - 00:02:44] 宽心联动往下做
[00:02:49 - 00:02:51] 深蹲往上抬屁股其实问题不大啊
[00:02:51 - 00:02:53] 但是背不能松掉
[00:02:53 - 00:02:54] 特别是上背
[00:02:55 - 00:02:57] 背裤啊那一块肩胛骨那一块
[00:02:57 - 00:02:59] 往上站的时候一定要收住
[00:02:59 - 00:03:02] 感觉上半身要是有点往前趴的情况呢
[00:03:02 - 00:03:03] 你就把你的下巴稍微抬高点
[00:03:03 - 00:03:05] 眼睛能往上看
[00:03:05 - 00:03:07] 这样他背就不容易死
[00:03:07 - 00:03:09] 因为你的腿感是有劲的
[00:03:09 - 00:03:10] 就到这里是有劲的
[00:03:10 - 00:03:11] 但是屁股一抬呢你是背
[00:03:12 - 00:03:14] 看到没就是凶阔这个地方
[00:03:14 - 00:03:15] 有点有点松掉了
[00:03:17 - 00:03:19] 这点要加强划船的项目
[00:03:19 - 00:03:21] 我会在你的计划当中添加一些
[00:03:21 - 00:03:23] 雅林单臂划船
[00:03:23 - 00:03:24] 什么坐姿划船
[00:03:24 - 00:03:27] 槓铃划船那个海报那个海报
[00:03:27 - 00:03:29] 雅林海报划船各种划船
