[00:00:00 - 00:00:02] 好了看一下今天的训练
[00:00:02 - 00:00:05] 阿段拉刚过膝盖还是有一点翘脚指头
[00:00:05 - 00:00:06] 都是右脚
[00:00:06 - 00:00:10] 看一下
[00:00:16 - 00:00:17] 这个还不错
[00:00:18 - 00:00:19] 登场高度做出来
[00:00:19 - 00:00:20] 杠林也贴身
[00:00:20 - 00:00:22] 分腿稍微有点没做出来
[00:00:24 - 00:00:25] 肩部挺
[00:00:33 - 00:00:36] 肩部挺就是脚掌就始终才稳就行
[00:00:36 - 00:00:38] 不需要在遇蹲的时候再往前面跑
[00:00:40 - 00:00:44] 然后第二呢就是前腿的膝盖
[00:00:45 - 00:00:47] 是不可以超过脚踝的
[00:00:48 - 00:00:50] 所以说你在肩部挺分腿的时候呢
[00:00:50 - 00:00:52] 你尽可能让前腿的后脚跟啊
[00:00:52 - 00:00:54] 往远一点踩
[00:00:54 - 00:00:55] 踩远一点
[00:00:55 - 00:01:01] 帆林是可以的
[00:01:01 - 00:01:04] 帆林只要接零的时候就是整个脚往拆稳
[00:01:04 - 00:01:06] 就OK这么做没有问题
[00:01:06 - 00:01:09] 挺举就是
[00:01:09 - 00:01:13] 挺举的话就注意膝盖是在这个位置
[00:01:14 - 00:01:17] 因为你的重心就是整个膝盖的重心
[00:01:17 - 00:01:20] 受力点是在这个宽部这个位置的正下方
[00:01:20 - 00:01:22] 所以你前腿的受力点是踩在脚后跟
[00:01:22 - 00:01:24] 像你如果踩在这个地方的话呢
[00:01:24 - 00:01:26] 整个人杠卖身就会容易往前趴
[00:01:26 - 00:01:28] 从而导致跑到前面去
[00:01:28 - 00:01:32] 对这些这些翻都不错
[00:01:32 - 00:01:37] 支撑也不错
[00:01:37 - 00:01:39] 这个手臂上上推杠林轨迹都不错
[00:01:39 - 00:01:42] 今天挺举就注意
[00:01:42 - 00:01:44] 就注意把前腿飞完一点就OK了
[00:01:44 - 00:01:46] 然后
[00:01:47 - 00:01:49] 帆林就按照这么感觉去做
[00:01:49 - 00:01:50] 没有问题
[00:01:50 - 00:01:59] 嗯可以
[00:01:59 - 00:02:02] 可以感觉前蹲蹲的比后蹲舒服
[00:02:02 - 00:02:06] 斯华如德斯
[00:02:07 - 00:02:10] 确实挺好的前蹲前蹲没有没啥问题
[00:02:11 - 00:02:19] 但是你前你做前蹲的时候好像勾的是
[00:02:19 - 00:02:21] 会有一点勾左脚
[00:02:21 - 00:02:23] 做帆林有点勾右脚
[00:02:23 - 00:02:26] 一点点
[00:02:26 - 00:02:28] 但是今天没有影响杠林的轨迹
[00:02:28 - 00:02:29] 倒也不管他了
[00:02:29 - 00:02:35] 嗯可以
