[00:00:00 - 00:00:02] 好了看一下今天的训练
[00:00:04 - 00:00:05] 拿的七十字做的好看
[00:00:07 - 00:00:09] 上送的时候一直往前跳
[00:00:09 - 00:00:12] 外网回来的时候如果做暂停上送
[00:00:12 - 00:00:14] 会有没有帮助
[00:00:14 - 00:00:17] 暂停上送没啥帮助
[00:00:18 - 00:00:20] 这个就是徒手的分腿有帮助
[00:00:21 - 00:00:22] 15公斤分
[00:00:23 - 00:00:25] 15公斤的空桿听据100个就好了
[00:00:25 - 00:00:32] 因为这就是一个习惯问题
[00:00:36 - 00:00:39] 就是对于你来说你想的是前腿的脚后跟
[00:00:39 - 00:00:41] 脚后跟分远一点
[00:00:43 - 00:00:45] 脚后跟出去就可以了
[00:00:46 - 00:00:48] 小铃铛今天做的不错
[00:00:49 - 00:00:49] 是对的
[00:00:50 - 00:00:51] 只要接零的是
[00:00:51 - 00:00:53] 只要接零的你的整个架子不松足够硬
[00:00:54 - 00:00:55] 然后再接到底的时候
[00:00:55 - 00:00:57] 第一下能弹起来就不要弹两下
[00:00:58 - 00:00:59] 第一下就要起
[00:00:59 - 00:01:01] 因为反复弹弹几下
[00:01:01 - 00:01:02] 反而有点浪费体力
[00:01:04 - 00:01:05] 但是这个松了就不要了
[00:01:06 - 00:01:08] 就腰被松掉了就不能不能反弹了
[00:01:09 - 00:01:10] 在这个位置的时候
[00:01:10 - 00:01:12] 下背收紧胸腔挺出来
[00:01:12 - 00:01:14] 然后腱脏反射到底不直接起
[00:01:18 - 00:01:19] 这个就松了
[00:01:20 - 00:01:21] 接零的时候
[00:01:21 - 00:01:23] 注意一定要始终保持胸腔打开
[00:01:38 - 00:01:41] 预备姿势的重心压的有点靠后了
[00:01:42 - 00:01:43] 像你在做预备姿势的时候呢
[00:01:44 - 00:01:46] 这一下当你的臀位确定好了之后
[00:01:46 - 00:01:47] 剩下来的挺胸
[00:01:48 - 00:01:50] 本体感时候都是用胸胸往前凑
[00:01:50 - 00:01:52] 就想着前面5厘米左右有一肚腔
[00:01:52 - 00:01:54] 你的胸要贴入那个腔的感觉
[00:01:55 - 00:01:56] 像你这个体感呢
[00:01:56 - 00:01:58] 是想着你一挺胸上来伸往后一压
[00:01:58 - 00:02:00] 屁股慢就臀胃就降下来了
[00:02:01 - 00:02:02] 你看这一下臀胃就降下来了
[00:02:03 - 00:02:04] 所以最开始臀胃确定好
[00:02:04 - 00:02:06] 千万不要再动臀胃了
[00:02:07 - 00:02:10] 不过今天的重心比上次是有进步的
[00:02:18 - 00:02:21] 115拉拉拉两个还挺新啊
[00:02:26 - 00:02:26] 可以
