[00:00:01 - 00:00:02] 好了看一下今天的训练
[00:00:04 - 00:00:04] 废老
[00:00:04 - 00:00:05] 你这镜子
[00:00:06 - 00:00:07] 就是空气腾散的
[00:00:09 - 00:00:11] 这不挺轻松的吗
[00:00:11 - 00:00:13] 我看看最后一个的体格
[00:00:14 - 00:00:15] 这重啥呀
[00:00:17 - 00:00:17] 这没上
[00:00:18 - 00:00:19] 这个都没粘质啊
[00:00:20 - 00:00:21] 轻松
[00:00:21 - 00:00:22] 轻松拿捏的
[00:00:30 - 00:00:31] 不过这个训练强度刚刚
[00:00:32 - 00:00:33] 太轻了没进步啊
[00:00:38 - 00:00:39] 登场没问题
[00:00:41 - 00:00:43] 分腿的时候注意整个胶脏同时
[00:00:43 - 00:00:44] 同时着地啊
[00:00:44 - 00:00:45] 把分腿啪了一下
[00:00:45 - 00:00:46] 做干脆一点
[00:00:46 - 00:00:47] 这个还不错
[00:00:47 - 00:00:49] 哎这个不挺好的吗
[00:00:50 - 00:00:51] 啊没有想象中的差
[00:00:51 - 00:00:52] 我我我看错了
[00:00:52 - 00:00:54] 我说你这么好
[00:00:55 - 00:00:56] 不是挺好的
[00:00:56 - 00:00:57] 今天的高抓式对的啊
[00:00:57 - 00:00:59] 今天有一个比较好的点呢
[00:00:59 - 00:01:00] 就是支撑非常的快
[00:01:00 - 00:01:01] 啪了一下很快
[00:01:02 - 00:01:03] 如果说你
[00:01:03 - 00:01:05] 如果说你后面一直能保持这种
[00:01:05 - 00:01:06] 发力给到不要犹豫
[00:01:06 - 00:01:07] 快速支撑定灵
[00:01:08 - 00:01:09] 这个去做下顿抓
[00:01:10 - 00:01:11] 你这个动作就有出来啊
[00:01:11 - 00:01:13] 你那个什么什么三十四十
[00:01:13 - 00:01:14] 全部靠偏转
[00:01:15 - 00:01:16] 肯定是要往两个片子上面加
[00:01:16 - 00:01:18] 往往两个大片上加的
[00:01:19 - 00:01:20] 可以不错啊
