[00:00:00 - 00:00:02] 好了看一下今天的训练
[00:00:02 - 00:00:06] 砸到的地方还是重的
[00:00:06 - 00:00:10] 平常几天了可以过了72小时可以开始热敷了
[00:00:10 - 00:00:18] 今天天气玉顿没做好
[00:00:18 - 00:00:21] 玉顿钢铃轨迹没做直
[00:00:21 - 00:00:22] 这个出现的主要原因呢
[00:00:22 - 00:00:30] 是因为你没有很好的把你的玉顿重心踩住
[00:00:30 - 00:00:32] 玉顿重心从后往前跑的
[00:00:32 - 00:00:33] 脚掌踩稳
[00:00:33 - 00:00:35] 这样钢铃才能直
[00:00:35 - 00:00:36] 然后第二个点呢
[00:00:36 - 00:00:38] 就是在整个玉顿的过程当中
[00:00:38 - 00:00:40] 你要感觉中背和肚子这两个地方
[00:00:40 - 00:00:42] 稍微有点收住的感觉
[00:00:42 - 00:00:50] 来避免寒胸
[00:00:50 - 00:00:51] 不然往前跳啊
[00:00:51 - 00:00:54] 前段时间不刚好那一段时间
[00:00:54 - 00:00:58] 又这样子了
[00:00:58 - 00:00:59] 这个还不错
[00:00:59 - 00:01:14] 不过还是有一点点往前跑
[00:01:22 - 00:01:24] 这个也还不错
[00:01:24 - 00:01:25] 后面几度看上去
[00:01:25 - 00:01:27] 像是热是热开了一样
[00:01:27 - 00:01:29] 前面的感觉看起来就像是
[00:01:29 - 00:01:31] 热身不充分式的
[00:01:36 - 00:01:41] 可以
[00:01:41 - 00:01:42] 深蹲是对的
[00:01:42 - 00:01:43] 没问题
