[00:00:00 - 00:00:02] 好了看一下今天的训练
[00:00:09 - 00:00:10] 今天早有点往前跳啊
[00:00:14 - 00:00:16] 这个主要出现的原因还是
[00:00:16 - 00:00:18] 这个脚趾头它勾起来
[00:00:19 - 00:00:20] 然后发力的时候
[00:00:21 - 00:00:22] 它就会往前跳
[00:00:23 - 00:00:24] 老问题了
[00:00:33 - 00:00:35] 支撑的架子都还不错啊
[00:00:40 - 00:00:41] 速度可以
[00:00:51 - 00:00:52] 你就加两个键就卡卡掉了
[00:00:53 - 00:01:00] 位置有点偏厚
[00:01:01 - 00:01:02] 这种都无所谓啊
[00:01:03 - 00:01:05] 平常你拿个那个木棍
[00:01:05 - 00:01:07] 然后用抓据的握具
[00:01:07 - 00:01:09] 嗯做一些绕尖的动作
[00:01:10 - 00:01:12] 就是呃
[00:01:13 - 00:01:15] 架的话可以提升一下后调
[00:01:18 - 00:01:20] 不然的话你这个钢铃明显是已经偏厚了
[00:01:20 - 00:01:23] 但是你还要把它往前扔是不太好的
[00:01:24 - 00:01:28] 往后的就后调就行了啊
[00:01:28 - 00:01:30] 如果如果是
[00:01:31 - 00:01:32] 老是这样调的话
[00:01:38 - 00:01:40] 这个也是偏厚前调啊
[00:01:40 - 00:01:40] 这个无所谓啊
[00:01:40 - 00:01:41] 这个无所谓
[00:01:42 - 00:01:43] 这个主要的原因是什么呢
[00:01:44 - 00:01:46] 呃跟上支没有关系
[00:01:46 - 00:01:48] 就是你支撑这个是对的
[00:01:48 - 00:01:49] 主要跟脚踝有关系
[00:01:50 - 00:01:52] 就是你脚踝足背区不够
[00:01:52 - 00:01:53] 然后在蹲的时候呢
[00:01:53 - 00:01:54] 你足背区不够的话
[00:01:54 - 00:01:56] 你屁股就坐到后面去了
[00:01:56 - 00:01:58] 带着重心往后面移动了
[00:01:58 - 00:02:00] 所以当吸就足背区
[00:02:00 - 00:02:01] 平常第一多压
[00:02:01 - 00:02:04] 然后第二呢就是用膝盖的外斩来去代替足背区
[00:02:04 - 00:02:06] 你不能说足背区也不好
[00:02:06 - 00:02:08] 然后这个膝盖的外斩外斩也不好
[00:02:08 - 00:02:10] 这样的话屁股就容易向后移动
[00:02:10 - 00:02:11] 支撑没有问题
[00:02:12 - 00:02:15] 平常没训练之前青蛙趴做个两组
[00:02:15 - 00:02:17] 啊做一些那种很像的皮擦的拉伸
[00:02:17 - 00:02:19] 做个两组脚踝压压再去做
[00:02:20 - 00:02:21] 没啥毛病
[00:02:22 - 00:02:24] 不只找技术什么没问题的
[00:02:24 - 00:02:25] 三个点
[00:02:25 - 00:02:29] 肩环绕朵做一朵啊膝盖外斩脚踝压压
[00:02:29 - 00:02:29] 热身
[00:02:30 - 00:02:31] 前蹲是对的
