[00:00:00 - 00:00:02] 好了看一下今天的训练
[00:00:03 - 00:00:05] 收腿的时候PUSH PUSH
[00:00:05 - 00:00:06] 感觉很行
[00:00:06 - 00:00:11] 我来看一下
[00:00:13 - 00:00:14] 重量重了的话
[00:00:15 - 00:00:17] 它可能会存在重心偏移
[00:00:18 - 00:00:19] 那这个时候呢为了强重心
[00:00:19 - 00:00:22] 可能是往前跑也可能是往后
[00:00:24 - 00:00:25] 所以大重量的话
[00:00:26 - 00:00:27] 只要不犯规就可以了
[00:00:30 - 00:00:31] 清重量今天的下蹬抓
[00:00:31 - 00:00:33] 看起来还不错
[00:00:38 - 00:00:39] 节奏感很好
[00:00:48 - 00:00:51] 这个的话稍微有点往前跳
[00:00:52 - 00:00:52] 我看一下
[00:00:54 - 00:00:55] 往前跳的话呢
[00:00:55 - 00:00:56] 一般是重心有点跑掉
[00:00:57 - 00:00:58] 就脚掌的受力点
[00:00:58 - 00:00:59] 有前后
[00:01:05 - 00:01:06] 第二个比第一个要好
[00:01:07 - 00:01:09] 还是有一点点往前跳
[00:01:13 - 00:01:15] 要注意的就是在发力
[00:01:15 - 00:01:18] 在下放銜接发力的这个过程当中
[00:01:19 - 00:01:20] 在任何一个环节
[00:01:21 - 00:01:25] 不要把脚掌受力点踩到脚后跟
[00:01:30 - 00:01:31] 就是你在下方
[00:01:31 - 00:01:33] 为什么会踩到脚后跟呢
[00:01:33 - 00:01:35] 因为你在下放的一瞬间啊
[00:01:35 - 00:01:37] 你看一下你的髋关节是往后驱的
[00:01:40 - 00:01:41] 然后呢你的槓铃又想贴腿
[00:01:42 - 00:01:44] 这个就这个时候就导致了你的手臂
[00:01:44 - 00:01:48] 会带着槓铃往往往后压
[00:01:48 - 00:01:51] 一压的话重心也容易跟着一起跑
[00:01:51 - 00:01:52] 到这个地方来
[00:01:54 - 00:01:55] 这样去做发力呢
[00:01:55 - 00:01:56] 你看你这个时候脚指头
[00:01:56 - 00:01:58] 已经有点微微的翘起来了
[00:01:58 - 00:02:00] 把力瞬间往前跑
[00:02:03 - 00:02:04] 人就会往前跳一些
[00:02:06 - 00:02:09] 哪怕槓铃下放的时候
[00:02:09 - 00:02:10] 它不贴大腿
[00:02:10 - 00:02:11] 其实也没什么关系
[00:02:16 - 00:02:16] 注意脚掌
[00:02:16 - 00:02:18] 踩踩稳就可以了
[00:02:19 - 00:02:20] 不今天的优点呢
[00:02:20 - 00:02:21] 是节奏感很好
[00:02:21 - 00:02:24] 发力銜接支撑的动作很干脆
[00:02:24 - 00:02:25] 而且到底部呢
[00:02:25 - 00:02:26] 这个髋关节也没有松
[00:02:31 - 00:02:32] 脖子还可以了
[00:02:32 - 00:02:32] 今天
[00:02:33 - 00:02:34] 今天就是重心一点
[00:02:39 - 00:02:40] 这不挺好的吗
[00:02:42 - 00:02:43] 哦哦不对
[00:02:44 - 00:02:46] 就是你借力推的这个体感呢
[00:02:46 - 00:02:49] 就是你的上送和收前腿是同时完成了
[00:02:49 - 00:02:51] 而不是说等腿升值了
[00:02:51 - 00:02:52] 然后再去把前腿收回来
[00:02:52 - 00:02:53] 这样会卡顿
[00:02:56 - 00:02:57] 所以只要就是
[00:02:58 - 00:02:59] 上送做出来
[00:03:00 - 00:03:02] 就同时收前腿
[00:03:02 - 00:03:03] 中间不能停
[00:03:07 - 00:03:08] 你看你是停了一下再收前腿
[00:03:08 - 00:03:10] 这样的话肯定是卡的
[00:03:11 - 00:03:13] 正式走一百四十五
[00:03:14 - 00:03:16] 可能现在挺制作的不是很熟练
[00:03:18 - 00:03:19] 正常的重量应该是要做到
[00:03:19 - 00:03:21] 比停举还要重
[00:03:21 - 00:03:23] 10到20公斤
[00:03:29 - 00:03:31] 对这个主要是因为暂停了
[00:03:31 - 00:03:32] 中间停了
[00:03:33 - 00:03:34] 其他的OK
