[00:00:00 - 00:00:02] 好,来看一下今天的训练
[00:00:02 - 00:00:05] 过头脑腾腾腾就不错
[00:00:05 - 00:00:08] 看了完成了呀
[00:00:08 - 00:00:10] 又是又是
[00:00:10 - 00:00:12] 最后还累着
[00:00:12 - 00:00:15] 是吧
[00:00:15 - 00:00:16] 我看一下重量
[00:00:16 - 00:00:19] 又是95
[00:00:19 - 00:00:34] 请举的前腿再分远一点点
[00:00:34 - 00:00:37] 翻脸的时候脚掌再抬稳一点
[00:00:37 - 00:00:39] 不要这样翘
[00:00:39 - 00:00:47] 前腿分出去的一瞬间
[00:00:47 - 00:00:49] 前腿的膝盖是不能超过脚踝的
[00:00:49 - 00:00:51] 再分远一点
[00:00:51 - 00:01:01] 支撑意识不错
[00:01:01 - 00:01:06] 腿死活分不出去
[00:01:06 - 00:01:08] 不存在的
[00:01:08 - 00:01:10] 不存在分不出去的腿
[00:01:10 - 00:01:12] 只存在就是
[00:01:12 - 00:01:20] 不想分的腿
[00:01:20 - 00:01:23] 这个腿就分得还不错
[00:01:23 - 00:01:26] 但是重心前移
[00:01:26 - 00:01:27] 重心厚移的话
[00:01:27 - 00:01:28] 应该不是重心的问题
[00:01:28 - 00:01:33] 应该是胸的问题
[00:01:33 - 00:01:35] 欲吞到底的时候
[00:01:35 - 00:01:39] 挺胸再硬一点
[00:01:39 - 00:01:41] 就是在欲吞到底部的那一瞬间
[00:01:41 - 00:01:42] 还胸
[00:01:42 - 00:01:48] 不然的话欲吞就往前跑了
[00:01:48 - 00:01:49] 这样支撑
[00:01:49 - 00:01:50] 哪怕
[00:01:50 - 00:01:53] 这样支撑你的躯干就会往前跑
[00:01:53 - 00:01:54] 你就会感觉腿大
[00:01:54 - 00:01:55] 怕分得很远的
[00:01:55 - 00:01:57] 但是看起来还是没分出去的样子
[00:01:57 - 00:01:59] 所以把躯干做直一点
[00:01:59 - 00:02:01] 就是躯干是下上下
[00:02:01 - 00:02:02] 没有往前
[00:02:02 - 00:02:04] 腿分大一点就行了
[00:02:04 - 00:02:15] 不要蹲95不够我蹲的
[00:02:15 - 00:02:25] 太轻了是吧
[00:02:25 - 00:02:26] 不很轻松吗
[00:02:26 - 00:02:31] 轻松可以
[00:02:31 - 00:02:32] 那是欲
