[00:00:01 - 00:00:03] 好了,看一下今天的训练
[00:00:03 - 00:00:14] 新年好
[00:00:14 - 00:00:16] 你这个
[00:00:16 - 00:00:19] 还没过年呢
[00:00:27 - 00:00:34] 这个分腿做做高抓就行了
[00:00:34 - 00:00:36] 不需要用这个做下蹬抓
[00:00:36 - 00:00:38] 做做高抓
[00:00:38 - 00:00:39] 高抓找到分腿的感觉
[00:00:39 - 00:00:40] 然后就把片子去掉
[00:00:40 - 00:00:43] 然后再开始做下蹬抓就行了
[00:00:48 - 00:00:51] 今天的展体做得很好
[00:00:51 - 00:00:52] 完全升长
[00:00:52 - 00:00:58] 最后几组接杠有点问题
[00:00:58 - 00:00:59] 最后,像这几组
[00:00:59 - 00:01:02] 其实问题不是在于接杠上面
[00:01:02 - 00:01:04] 虽然说今天的深宽做得很充分
[00:01:04 - 00:01:07] 但是在转支撑的过程当中
[00:01:07 - 00:01:09] 你的下蹬
[00:01:09 - 00:01:11] 就是往前下方蹬的
[00:01:11 - 00:01:13] 它不像是深蹬
[00:01:13 - 00:01:15] 就从这里到这里的时候
[00:01:15 - 00:01:17] 屁股应该是正常走走走
[00:01:17 - 00:01:18] 往这个方向走,对不对
[00:01:18 - 00:01:22] 你就
[00:01:22 - 00:01:32] 预备姿势的架子也有进步
[00:01:32 - 00:01:33] 膝盖打开,挺胸抬头
[00:01:33 - 00:01:35] 这个没问题
[00:01:35 - 00:01:36] 一段拉起动
[00:01:36 - 00:01:38] 注意用前脚的脚掌去蹬地
[00:01:38 - 00:01:39] 如果说不确定的话
[00:01:39 - 00:01:41] 你在预备姿势的时候
[00:01:41 - 00:01:43] 反复的把脚后跟微微的提起来
[00:01:43 - 00:01:45] 确保重心是踩在前脚掌
[00:01:45 - 00:01:47] 然后再用前脚掌去推地
[00:01:47 - 00:02:03] 这个还不错
[00:02:03 - 00:02:05] 低头相对来说反而是小问题
[00:02:05 - 00:02:11] 主要是一个架子
[00:02:11 - 00:02:13] 就是宽步的架子在蹲下去的时候
[00:02:13 - 00:02:15] 宽要做硬
[00:02:15 - 00:02:17] 这样的话你把钢铃撑对了
[00:02:17 - 00:02:19] 它整个就很棒
[00:02:19 - 00:02:28] 这个很好
[00:02:28 - 00:02:30] 对,对,对,对,这种感觉不错
[00:02:30 - 00:02:32] 屁股位置是对的
[00:02:32 - 00:02:35] 再加上注意的低头
[00:02:36 - 00:02:38] 后面就按照这个感觉去走
[00:02:38 - 00:02:40] 这个撑的就没问题了
[00:02:40 - 00:02:42] 不过就是后面的几个就是
[00:02:42 - 00:02:45] 所有的还是有一点点的
[00:02:45 - 00:02:47] 重心偏后
[00:02:47 - 00:02:48] 这个要继续的注意
[00:02:48 - 00:02:49] 其他的相对之下
[00:02:49 - 00:02:51] 除了一个宽支撑的时候
[00:02:51 - 00:02:52] 就是坐下去的时候
[00:02:52 - 00:02:53] 把宽脚收紧
[00:02:53 - 00:02:55] 重心采稳
[00:02:55 - 00:02:57] 其他的小问题
[00:02:58 - 00:03:00] 宽速拉主要是屁股要往下坐
[00:03:00 - 00:03:02] 在这个阶段的时候
[00:03:02 - 00:03:04] 你光腿往两边分
[00:03:05 - 00:03:09] 屁股不往下坐
[00:03:09 - 00:03:15] 没坐下去
[00:03:15 - 00:03:18] 你这个坐的就跟开合跳似的
[00:03:18 - 00:03:28] 屁股下去
[00:03:28 - 00:03:30] 其他的没问题
