[00:00:00 - 00:00:02] 好了看一下今天的训练
[00:00:06 - 00:00:08] 看到100的时候我以为我演化了
[00:00:08 - 00:00:09] 演化啥
[00:00:09 - 00:00:16] 所以平常做的时候呢
[00:00:16 - 00:00:18] 就是发力到支撑的时候
[00:00:18 - 00:00:20] 重在感受槓灵的轨迹
[00:00:22 - 00:00:23] 比如说
[00:00:23 - 00:00:24] 你如果说完整的爪举
[00:00:24 - 00:00:25] 实在感受不到
[00:00:25 - 00:00:26] 这样轻重量应该可以吧
[00:00:26 - 00:00:27] 对吧
[00:00:27 - 00:00:28] 宽速拉浮
[00:00:28 - 00:00:29] 足训练应该也可以吧
[00:00:29 - 00:00:37] 今天高帆做的很贴身
[00:00:37 - 00:00:38] 是对的
[00:00:38 - 00:00:39] 没问题
[00:00:39 - 00:00:47] 对的
[00:00:47 - 00:01:02] 可以啊
[00:01:02 - 00:01:03] 130
[00:01:10 - 00:01:11] 可以没问题
[00:01:12 - 00:01:13] 今天动作都是对的
[00:01:13 - 00:01:14] 做得很好
