[00:00:00 - 00:00:03] 好了看一下今天的训练
[00:00:03 - 00:00:06] 肩膀太痠了
[00:00:06 - 00:00:07] 昨天练了啥了呀
[00:00:07 - 00:00:09] 肩膀太痠了
[00:00:09 - 00:00:10] 没练啥呀
[00:00:10 - 00:00:20] 重心压压好
[00:00:20 - 00:00:24] 刚连过膝的时候又瞧角枝头了
[00:00:24 - 00:00:24] 看到没
[00:00:24 - 00:00:39] 你支撑和低头不能分开来
[00:00:39 - 00:00:42] 啪的一下就把支撑和低头同时做完
[00:00:42 - 00:00:46] 今天这个
[00:00:46 - 00:00:48] 这个摄尾的节奏不太好
[00:00:48 - 00:00:51] 我看看伤重量会不会好一些
[00:00:51 - 00:00:58] 伤重量被迫加速
[00:00:59 - 00:01:00] 但是你看你今天的后腿啊
[00:01:01 - 00:01:03] 看看你今天的后腿
[00:01:03 - 00:01:05] 后腿不能这个样子的
[00:01:06 - 00:01:08] 你这样的话脚指头要戳坏了
[00:01:10 - 00:01:13] 也就是说在后腿分出去的时候
[00:01:13 - 00:01:15] 脚掌是贴着地走的啊
[00:01:15 - 00:01:18] 不会把后腿抬得离开地面很高
[00:01:19 - 00:01:22] 就感觉你你就感觉后腿拖着这个地
[00:01:23 - 00:01:23] 髋膝踝伸展
[00:01:26 - 00:01:29] 最主要的感觉就是今天节奏不太好
[00:01:29 - 00:01:31] 你今天给我的就是
[00:01:31 - 00:01:34] 不好的感觉呢就是在上颂的时候分腿
[00:01:35 - 00:01:36] 你前腿着地了后腿还在天上
[00:01:37 - 00:01:38] 然后再落下来就很软
[00:01:39 - 00:01:40] 节奏感不行
[00:01:42 - 00:01:45] 所以如果把一个完整的挺举拆成三个节奏
[00:01:46 - 00:01:48] 一是蹲下二是收腿
[00:01:49 - 00:01:50] 三分腿支撑
[00:01:51 - 00:01:52] 也就是说分腿是收尾动作
[00:01:53 - 00:01:54] 做早了
[00:02:03 - 00:02:07] 都是一样的空感今天也是一样的
[00:02:07 - 00:02:09] 所以看起来就是今天支撑也不对劲
[00:02:10 - 00:02:11] 分腿也不对劲
[00:02:11 - 00:02:12] 节奏感做错了
[00:02:17 - 00:02:18] 前端没问题
