[00:00:00 - 00:00:02] 好了看一下今天的训练
[00:00:03 - 00:00:04] 今天OK
[00:00:06 - 00:00:07] 今天帮我怎么回事
[00:00:07 - 00:00:18] 我的膝盖还是超过胶滑的
[00:00:18 - 00:00:20] 肚子也是有点松
[00:00:21 - 00:00:22] 你把肚子收紧了
[00:00:22 - 00:00:23] 后腿蹬的没那么迟
[00:00:23 - 00:00:24] 就不容易往前
[00:00:37 - 00:00:38] 什么情况
[00:00:48 - 00:00:50] 今天的下蹬抓还不错
[00:00:50 - 00:00:53] 先上下蹬抓做得挺贴身的
[00:00:53 - 00:00:54] 没什么问题
[00:01:02 - 00:01:03] 第二个做得不太好
[00:01:03 - 00:01:04] 第二个主要原因
[00:01:04 - 00:01:06] 是在下蹬的这个过程当中
[00:01:06 - 00:01:07] 重心有点前移
[00:01:12 - 00:01:15] 一定要始终的保持膝盖
[00:01:15 - 00:01:16] 撑出来的感受
[00:01:17 - 00:01:19] 这样才能更好地在支撑的时候
[00:01:19 - 00:01:20] 把这个下肢做稳定
[00:01:23 - 00:01:24] 否则的话
[00:01:24 - 00:01:25] 你本来高抓这个膝盖
[00:01:25 - 00:01:26] 挺好的一蹬下去
[00:01:27 - 00:01:28] 这个还不错
[00:01:29 - 00:01:30] 就像上一个蹬下去的时候
[00:01:30 - 00:01:31] 膝盖一夹
[00:01:32 - 00:01:33] 它就晃了
[00:01:38 - 00:01:39] 这个也不错
[00:01:40 - 00:01:41] 对膝上下蹬抓
[00:01:41 - 00:01:42] 后面几个都是对的
[00:01:42 - 00:01:44] 按着这个感觉是做就没问题
[00:01:45 - 00:01:59] 今天肃拉不挺好的吗
[00:02:00 - 00:02:02] 你今天的肃拉在
[00:02:04 - 00:02:06] 分腿的时候分的是对的
[00:02:12 - 00:02:13] 挺直
[00:02:13 - 00:02:15] 你前腿稍微出息一点
[00:02:15 - 00:02:16] 你前举出息就算了
[00:02:16 - 00:02:17] 挺直这么
[00:02:17 - 00:02:18] 膝盖还在前面
[00:02:22 - 00:02:24] 收腿直线都是对的
[00:02:24 - 00:02:24] 没问题
