[00:00:00 - 00:00:02] 好了,看一下今天的训练
[00:00:03 - 00:00:05] 圣蹲135,现在是多少
[00:00:19 - 00:00:21] 今天只练圈蹲不够你练呢
[00:00:21 - 00:00:25] 你这么嚣张吗
[00:00:25 - 00:00:33] 我看一下吧
[00:00:33 - 00:00:39] 现在如果圣蹲有好像120左右吧
[00:00:39 - 00:00:40] 还125啊
[00:00:40 - 00:00:49] 那架子啊,挺凶啊
[00:00:49 - 00:00:51] 硬拉的时候,胸腔不打开
[00:00:51 - 00:00:53] 你发力出走,它优劣
[00:00:53 - 00:00:56] 速度还慢
[00:00:56 - 00:00:58] 在这个位置的时候啊
[00:00:58 - 00:01:00] 抬头挺好的
[00:01:01 - 00:01:03] 站距如果站的比较宽的话
[00:01:03 - 00:01:07] 卧距
[00:01:07 - 00:01:09] 把膝盖稍微再打开一点
[00:01:09 - 00:01:11] 虽然说这个时候膝盖被手挡住了
[00:01:11 - 00:01:13] 但是你可以通过把架子压低
[00:01:13 - 00:01:15] 把整个架子压低一点
[00:01:15 - 00:01:17] 从而让你的膝盖能往两边
[00:01:17 - 00:01:19] 把手推开来,再去启动
[00:01:19 - 00:01:24] 你预备姿势膝盖越
[00:01:24 - 00:01:25] 越出来
[00:01:25 - 00:01:26] 你的髋关节压得越紧
[00:01:26 - 00:01:28] 挺凶的感觉就会做得越好
[00:01:28 - 00:01:35] 你前蹲在下蹲的时候
[00:01:35 - 00:01:37] 腰椎不要乱晃,稳一点
[00:01:37 - 00:01:45] 135
[00:01:45 - 00:01:47] 还有半年
[00:01:47 - 00:01:51] 大半年
[00:01:51 - 00:01:58] 有细,有希望
[00:01:58 - 00:02:00] 你现在力量不是够用的吗
[00:02:00 - 00:02:02] 怎么搞起,想要搞起后蹬了
